ID	DoC	How	APP	Wat	Age	Sex	Inc	Reg
3887201482	1	1	1	1	1	1	1	1
3887159451	1	1	1	1	2	1	2	2
3887152228	1	1	1	1	1	1	3	3
3887145426	1	1	1	2	1	1	2	2
3887021873	1	2	2	1	1	1	4	3
3886937140	1	2	3	2	2	1	3	4
3886923931	1	3	1	3	1	1	5	4
3886913587	1	4	1	4	3	2	6	2
3886889048	1	3	1	1	1	1	2	5
3886848806	1	1	1	1	1	1	4	6
3886782609	2	5	1	5	2	1	7	5
3886416355	2	1	1	2	1	1	3	7
3886356706	2	4	1	4	3	2	6	2
3886328736	1	6	1	1	1	1	7	3
3886284495	2	3	1	3	2	1	8	3
3886283555	1	5	1	2	2	1	9	3
3886272525	1	1	1	1	1	1	8	8
3886261814	1	2	4	1	1	1	5	3
3886258514	1	6	1	3	1	3	5	4
3886256409	2	1	1	1	2	1	5	1
3886226091	1	1	1	5	2	1	5	1
3886201383	1	6	1	1	1	1	4	4
3886197152	1	3	1	3	1	1	2	8
3886132282	1	1	1	1	1	1	5	7
3886121810	2	4	1	4	3	2	6	2
3886114640	1	2	5	3	1	1	9	3
3886112493	1	1	1	1	2	1	8	7
3886110900	1	6	1	2	1	1	5	9
3886102001	1	3	1	1	4	3	10	8
3886098922	2	7	1	3	2	1	7	6
3886095863	1	3	1	5	4	3	8	7
3886067670	1	8	1	2	1	1	5	3
3886043003	2	1	1	2	2	1	7	6
3886040050	1	5	1	1	2	1	7	10
3886031017	1	1	1	1	5	3	1	1
3886019381	2	5	1	2	2	1	9	5
3886018765	1	1	1	1	2	1	1	4
3886007951	1	2	6	1	1	1	5	8
3885984891	1	1	1	1	4	3	1	5
3885983629	1	3	1	1	5	1	2	1
3885983248	1	3	1	1	1	1	2	3
3885969840	1	5	1	1	1	1	10	1
3885965613	1	6	1	2	5	1	4	9
3885944544	1	1	1	1	1	1	3	3
3885928568	1	6	1	1	2	1	3	9
3885927684	2	1	1	2	1	1	5	1
3885872237	2	3	1	2	1	1	8	1
3885869392	1	2	7	2	2	1	1	4
3885838101	1	5	1	1	2	1	8	5
3885835130	1	5	1	2	2	1	8	1
3885824482	1	3	1	3	5	1	3	4
3885821034	1	1	1	1	5	1	2	7
3885802164	2	8	1	3	1	1	1	3
3885791607	2	6	1	5	1	1	10	3
3885773515	1	1	1	2	1	1	8	5
3885691247	1	5	1	5	1	1	2	4
3885688258	1	2	8	1	2	1	5	4
3885687708	1	5	1	3	1	1	11	7
3885683872	1	6	1	2	1	1	2	3
3885652370	1	5	1	2	1	1	1	6
3885637949	2	5	1	1	2	1	8	2
3885625628	1	1	1	1	1	1	9	6
3885602270	1	1	1	3	2	1	12	7
3885570360	2	8	1	5	1	1	12	1
3885569498	1	2	9	2	1	1	9	1
3885540601	1	2	10	1	2	1	7	1
3885539632	1	3	1	3	2	1	8	7
3885525146	1	1	1	1	2	1	10	5
3885512170	1	9	1	5	1	1	5	5
3885497220	1	2	11	2	2	1	8	5
3885496201	1	8	1	3	1	1	7	2
3885404319	1	1	1	1	1	1	5	4
3885304775	1	1	1	1	1	1	1	3
3885296722	1	2	12	1	1	1	8	3
3885275206	1	4	1	4	3	2	6	2
3885247252	2	6	1	2	1	1	4	7
3885195077	1	2	13	1	2	1	7	1
3885174420	1	5	1	2	5	1	11	7
3885164782	1	1	1	1	1	1	12	3
3885139533	1	1	1	1	1	1	10	9
3885123066	1	3	1	3	2	1	2	9
3885040099	1	2	14	2	1	1	3	6
3885026185	2	1	1	2	1	1	9	5
3884998535	1	2	15	3	1	1	12	5
3884960044	1	1	1	2	2	1	3	1
3884902653	2	1	1	1	2	1	5	8
3884859930	1	6	1	5	1	1	8	4
3884813859	2	5	1	3	2	1	7	5
3884790873	1	1	1	1	2	1	7	6
3884694722	1	3	1	1	2	1	3	9
3884500697	1	3	1	3	2	1	5	1
3883994422	1	8	1	1	2	1	7	10
3883947693	2	5	1	2	2	1	2	5
3883852529	2	8	1	5	2	1	9	5
3883822504	1	2	6	2	2	1	7	4
3883792972	1	3	1	3	1	1	2	4
3883744850	1	1	1	2	2	1	1	4
3883706735	2	1	1	5	2	1	2	5
3883706220	1	5	1	2	2	1	2	9
3883591931	1	2	16	1	1	1	4	1
3883449927	2	6	1	3	2	1	7	5
3883423513	2	5	1	2	2	1	8	8
3883400954	1	1	1	1	1	1	10	1
3883396110	2	9	1	2	2	1	1	2
3883373140	1	6	1	2	1	1	8	9
3883347727	1	1	1	5	1	1	3	9
3883237358	2	3	1	3	2	1	1	3
3883013307	1	1	1	2	2	1	8	1
3882981067	2	1	1	2	1	1	1	5
3882953969	1	1	1	3	1	1	9	8
3882828486	1	5	1	3	1	1	1	4
3882734383	1	2	17	1	1	1	1	7
3882036173	1	5	1	1	1	1	3	5
3882027944	1	2	18	2	1	1	8	6
3882024847	1	5	1	1	4	1	12	8
3881999864	1	2	19	1	4	1	9	1
3881965206	2	5	1	2	2	1	9	1
3881590664	1	2	20	3	1	1	9	7
3881586024	1	5	1	3	4	1	4	1
3881268852	1	5	1	2	2	1	2	2
3881207655	1	1	1	2	4	1	5	5
3881152975	2	2	12	2	4	1	10	5
3881043805	1	3	1	2	4	1	5	1
3880998411	1	1	1	1	4	1	1	3
3880901650	1	5	1	3	4	1	9	1
3880901309	1	3	1	3	4	1	8	8
3880839674	1	5	1	2	4	1	10	5
3880831944	1	1	1	3	4	1	5	7
3880760866	1	7	1	1	4	1	7	1
3880684514	1	3	1	1	4	1	5	3
3880658899	1	2	21	1	4	1	12	8
3880648847	1	6	1	3	4	1	7	7
3880644828	1	8	1	2	2	1	2	5
3880589507	1	2	22	3	4	1	9	5
3880580324	1	2	23	1	4	1	4	1
3880574320	1	6	1	2	4	1	9	1
3880465916	2	5	1	5	1	1	7	6
3880464921	2	3	1	2	1	1	9	1
3880459984	1	1	1	2	4	1	1	4
3880448211	1	1	1	1	4	1	11	3
3880441785	1	2	24	1	4	1	1	1
3880438117	1	2	25	5	4	1	3	7
3880436782	1	7	1	3	4	1	10	1
3880427365	1	2	26	3	4	1	10	9
3880377127	2	5	1	2	4	1	12	5
3880323654	1	6	1	3	4	1	12	4
3880319089	2	2	27	2	2	1	1	1
3880303554	1	2	28	1	4	1	4	7
3880299725	1	2	29	5	4	1	1	7
